origin,dest,hour,dow,p80,p90,p95,obs_count
EXD,PAD,17,2,8.2,10.0,14.5,10
EXD,PAD,17,3,7.2,9.5,16.25,10
EXD,PAD,17,4,17.4,35.2,47.1,8
EXD,PAD,17,5,2.8,4.9,5.95,4
EXD,PAD,17,6,36.8,37.4,37.7,3
EXD,PAD,18,0,4.6,7.1,9.55,8
EXD,PAD,18,1,5.4,7.2,8.1,10
EXD,PAD,18,2,8.4,10.0,12.0,9
EXD,PAD,18,3,7.6,14.0,14.0,10
EXD,PAD,18,4,18.2,27.0,34.0,8
EXD,PAD,18,5,1.6,3.5,5.25,8
EXD,PAD,18,6,30.4,32.1,32.55,10
EXD,PAD,19,0,5.0,5.3,5.65,8
EXD,PAD,19,1,6.6,9.3,10.65,10
EXD,PAD,19,2,12.2,21.6,24.3,10
EXD,PAD,19,3,14.8,22.7,25.85,10
EXD,PAD,19,4,15.8,22.9,27.45,8
EXD,PAD,19,5,3.4,5.2,6.1,4
EXD,PAD,19,6,17.0,17.0,17.0,4
EXD,PAD,20,0,4.0,5.5,6.25,4
EXD,PAD,20,1,0.2,0.6,0.8,5
EXD,PAD,20,2,6.2,6.6,6.8,5
EXD,PAD,20,3,1.4,2.2,2.6,5
EXD,PAD,20,4,9.8,13.4,15.2,4
EXD,PAD,20,5,7.2,8.1,8.55,4
EXD,PAD,20,6,19.0,20.0,23.15,12
EXD,PAD,21,0,5.0,8.0,9.5,4
EXD,PAD,21,1,8.6,9.8,10.4,5
EXD,PAD,21,2,10.2,10.6,10.8,5
EXD,PAD,21,3,4.6,9.8,12.4,5
EXD,PAD,21,4,7.8,8.4,8.7,4
EXD,PAD,21,5,21.0,24.0,25.5,4
EXD,PAD,21,6,46.0,67.5,78.25,6
EXD,PAD,22,0,2.6,3.0,3.0,8
EXD,PAD,22,1,20.2,32.0,35.5,8
EXD,PAD,22,2,9.6,14.3,24.65,10
EXD,PAD,22,3,9.0,10.0,14.5,10
EXD,PAD,22,4,15.2,22.3,22.65,8
PAD,HXX,6,0,2.0,2.9,3.9,12
PAD,HXX,6,1,1.0,1.8,5.2,13
PAD,HXX,6,2,1.2,6.2,11.1,15
PAD,HXX,6,3,0.0,0.6,1.0,15
PAD,HXX,6,4,0.8,3.7,4.45,12
PAD,HXX,6,5,0.8,1.0,1.45,12
PAD,HXX,6,6,0.0,1.1,2.0,20
PAD,HXX,7,0,1.0,2.5,3.75,16
PAD,HXX,7,1,5.4,9.1,10.05,20
PAD,HXX,7,2,2.0,3.1,4.3,20
PAD,HXX,7,3,1.0,1.1,2.0,20
PAD,HXX,7,4,1.0,2.0,3.75,16
PAD,HXX,7,5,1.0,1.5,2.25,16
PAD,HXX,7,6,0.0,0.0,1.0,32
PAD,HXX,8,0,2.0,4.5,5.0,16
PAD,HXX,8,1,3.0,4.0,4.0,20
PAD,HXX,8,2,3.0,3.1,4.2,20
PAD,HXX,8,3,1.2,2.0,2.05,20
PAD,HXX,8,4,2.0,2.5,3.0,16
PAD,HXX,8,5,1.0,2.0,3.0,16
PAD,HXX,8,6,3.0,5.6,9.6,23
PAD,HXX,9,0,4.0,5.5,8.25,16
PAD,HXX,9,1,3.0,3.1,4.2,20
PAD,HXX,9,2,2.2,4.0,4.25,20
PAD,HXX,9,3,2.2,3.1,4.2,20
PAD,HXX,9,4,1.0,1.0,1.0,17
PAD,HXX,9,5,2.0,3.0,3.25,16
PAD,HXX,9,6,1.0,2.0,3.0,16
PAD,HXX,10,0,1.0,2.0,2.25,16
PAD,HXX,10,1,3.2,5.1,6.35,20
PAD,HXX,10,2,3.0,5.2,7.1,20
PAD,HXX,10,3,1.2,2.0,2.0,20
PAD,HXX,10,4,1.0,1.0,1.25,16
PAD,HXX,10,5,2.0,2.0,2.25,16
PAD,HXX,10,6,0.0,0.0,0.95,22
PAD,HXX,11,0,2.0,3.0,3.75,16
PAD,HXX,11,1,2.0,3.1,4.05,20
PAD,HXX,11,2,2.4,4.6,10.1,20
PAD,HXX,11,3,2.2,3.1,4.0,20
PAD,HXX,11,4,2.0,2.0,2.0,16
PAD,HXX,11,5,3.0,3.0,3.5,16
PAD,HXX,11,6,0.0,0.7,1.35,14
PAD,HXX,12,0,2.0,5.0,8.5,16
PAD,HXX,12,1,2.0,2.6,8.05,20
PAD,HXX,12,2,2.0,3.0,3.05,20
PAD,HXX,12,3,2.4,8.2,9.4,19
PAD,HXX,12,4,3.0,5.5,7.0,16
PAD,HXX,12,5,2.0,3.0,3.25,16
PAD,HXX,12,6,1.4,2.7,3.35,14
PAD,HXX,13,0,3.6,5.4,6.6,17
PAD,HXX,13,1,8.0,8.1,9.35,20
